"","year","RHminT","RHmaxT"
"1",1889,99.4991780821918,55.3219178082192
"2",1890,99.9827397260274,58.1750684931507
"3",1891,99.8553424657534,57.4967123287671
"4",1892,99.6814207650273,55.2450819672131
"5",1893,98.8928767123288,55.0632876712329
"6",1894,99.6315068493151,55.4356164383562
"7",1895,99.7876712328767,53.0484931506849
"8",1896,99.742349726776,54.0355191256831
"9",1897,99.4386301369863,52.2534246575342
"10",1898,99.3586301369863,52.6895890410959
"11",1899,99.5638356164384,53.4819178082192
"12",1900,99.7871232876712,53.5945205479452
"13",1901,99.7630136986301,54.1128767123288
"14",1902,99.4369863013699,48.8632876712329
"15",1903,99.461095890411,53.9164383561644
"16",1904,99.9800546448087,54.2158469945355
"17",1905,99.9419178082192,53.4594520547945
"18",1906,99.9701369863014,55.8197260273973
"19",1907,99.9890410958904,55.4397260273973
"20",1908,99.7745901639344,54.1382513661202
"21",1909,99.7772602739726,54.0304109589041
"22",1910,99.4720547945205,56.7654794520548
"23",1911,99.392602739726,54.8616438356164
"24",1912,99.5606557377049,53.5825136612022
"25",1913,99.2769863013699,54.5854794520548
"26",1914,99.2854794520548,55.9035616438356
"27",1915,97.8471232876712,51.2241095890411
"28",1916,99.1803278688525,56.4300546448087
"29",1917,99.2767123287671,56.3931506849315
"30",1918,99.2076712328767,55.021095890411
"31",1919,97.9594520547945,53.3632876712329
"32",1920,98.9229508196721,56.8950819672131
"33",1921,99.1356164383562,57.3213698630137
"34",1922,98.5797260273973,52.9980821917808
"35",1923,98.4142465753425,51.5021917808219
"36",1924,99.1592896174863,55.9043715846995
"37",1925,98.4186301369863,54.6638356164384
"38",1926,97.7704109589041,53.0356164383562
"39",1927,98.9915068493151,55.2523287671233
"40",1928,98.7355191256831,55.5950819672131
"41",1929,97.8715068493151,53.187397260274
"42",1930,98.3906849315069,55.3243835616438
"43",1931,98.052602739726,55.4887671232877
"44",1932,97.6969945355191,53.3898907103825
"45",1933,98.3712328767123,55.447397260274
"46",1934,99.3227397260274,56.7375342465753
"47",1935,98.9816438356164,54.0528767123288
"48",1936,98.1218579234973,53.9254098360656
"49",1937,98.6358904109589,53.5408219178082
"50",1938,98.4476712328767,55.247397260274
"51",1939,99.2608219178082,57.1298630136986
"52",1940,99.6456284153005,56.3
"53",1941,99.5950684931507,57.4380821917808
"54",1942,99.4797260273973,57.5945205479452
"55",1943,99.5967123287671,58.3986301369863
"56",1944,99.3341530054645,57.6349726775956
"57",1945,99.5419178082192,59.7172602739726
"58",1946,98.9356164383562,53.0005479452055
"59",1947,99.6745205479452,58.4068493150685
"60",1948,99.1166666666667,56.9866120218579
"61",1949,99.053698630137,58.4109589041096
"62",1950,98.9490410958904,56.7717808219178
"63",1951,96.2627397260274,53.3339726027397
"64",1952,93.9188524590164,52.2128415300546
"65",1953,94.5175342465753,50.5117808219178
"66",1954,96.3353424657534,55.9972602739726
"67",1955,95.9761643835616,54.2958904109589
"68",1956,94.3502732240437,51.5904371584699
"69",1957,95.3101369863014,50.0742465753425
"70",1958,95.487397260274,53.0147945205479
"71",1959,96.72,56.4958904109589
"72",1960,95.7251366120219,51.4937158469945
"73",1961,97.3002739726027,54.0745205479452
"74",1962,96.1876712328767,52.7328767123288
"75",1963,96.4465753424657,55.4745205479452
"76",1964,95.4360655737705,51.0636612021858
"77",1965,96.9794520547945,51.3495890410959
"78",1966,94.9021917808219,48.9380821917808
"79",1967,97.1504109589041,55.2180821917808
"80",1968,94.5065573770492,49.3101092896175
"81",1969,96.7430136986301,53.1904109589041
"82",1970,95.2550684931507,48.9202739726027
"83",1971,96.2846575342466,51.2608219178082
"84",1972,96.3191256830601,52.9314207650273
"85",1973,96.9328767123288,53.9479452054794
"86",1974,95.0701369863014,52.1476712328767
"87",1975,96.4835616438356,54.2783561643836
"88",1976,95.7428961748634,55.0213114754098
"89",1977,96.881095890411,52.798904109589
"90",1978,95.886301369863,53.9775342465753
"91",1979,96.558904109589,53.1983561643836
"92",1980,95.8715846994535,52.7311475409836
"93",1981,95.441095890411,53.3860273972603
"94",1982,96.9613698630137,54.0446575342466
"95",1983,96.9515068493151,57.0928767123288
"96",1984,95.9013661202186,55.1672131147541
"97",1985,96.2084931506849,54.4701369863014
"98",1986,95.3301369863014,51.5545205479452
"99",1987,95.3953424657534,54.313698630137
"100",1988,95.7286885245902,55.5415300546448
"101",1989,95.9783561643836,54.9608219178082
"102",1990,94.9356164383562,53.5079452054795
"103",1991,95.2679452054794,50.52
"104",1992,95.3666666666667,53.1595628415301
"105",1993,96.5846575342466,53.8243835616438
"106",1994,95.7775342465753,51.3186301369863
"107",1995,95.1657534246575,52.5701369863014
"108",1996,95.944262295082,52.7284153005464
"109",1997,97.4424657534247,54.9139726027397
"110",1998,96.687397260274,55.2509589041096
"111",1999,97.5704109589041,58.3986301369863
"112",2000,96.7751366120219,53.1860655737705
"113",2001,96.038904109589,51.8353424657534
"114",2002,95.6153424657534,48.9572602739726
"115",2003,96.7772602739726,53.6032876712329
"116",2004,95.998087431694,50.6237704918033
"117",2005,97.0657534246575,53.4534246575342
"118",2006,97.0430136986301,53.8205479452055
"119",2007,95.9813698630137,52.0024657534247
"120",2008,96.3161202185792,53.2333333333333
"121",2009,96.0964383561644,51.2764383561644
"122",2010,97.1619178082192,56.3972602739726
"123",2011,97.3276712328767,54.5690410958904
"124",2012,96.8857923497268,53.0144808743169
"125",2013,97.0295890410959,53.7832876712329
"126",2014,97.0969863013699,52.2835616438356
"127",2015,97.5227397260274,54.7547945205479
"128",2016,96.4606557377049,51.1598360655738
"129",2017,96.4265753424658,52.1175342465753
"130",2018,97.1030136986301,51.1838356164384
"131",2019,95.3115068493151,47.778904109589
"132",2020,96.1918032786885,52.5863387978142
"133",2021,96.7958904109589,53.6561643835616
"134",2022,96.9298630136986,57.1632876712329
"135",2023,97.8312328767123,51.7252054794521
"136",2024,98.8220472440945,58.1303149606299
