year,n_states
1910,4
1911,6
1912,4
1913,4
1914,6
1915,6
1916,6
1917,6
1918,4
1919,4
1920,4
1921,6
1922,6
1923,4
1924,6
1925,6
1926,6
1927,6
1928,6
1929,6
1930,4
1931,4
1932,4
1933,6
1934,6
1935,6
1936,4
1937,6
1938,4
1939,6
1940,4
1941,4
1942,6
1943,6
1944,6
1945,6
1946,6
1947,6
1948,4
1949,6
1950,6
1951,6
1952,4
1953,4
1954,2
1955,6
1956,6
1957,6
1958,6
1959,6
1960,6
1961,6
1962,4
1963,6
1964,6
1965,6
1966,6
1967,6
1968,6
1969,6
1970,6
1971,6
1972,6
1973,6
1974,6
1975,6
1976,4
1977,4
1978,6
1979,6
1980,4
1981,6
1982,6
1983,6
1984,6
1985,6
1986,6
1987,4
1988,4
1989,6
1990,4
1991,6
1992,6
1993,4
1994,6
1995,4
1996,4
1997,6
1998,4
1999,6
2000,6
2001,4
2002,6
2003,6
2004,4
2005,6
2006,4
2007,6
2008,6
2009,6
2010,6
2011,6
2012,4
2013,6
2014,6
2015,4
2016,6
2017,6
2018,6
2019,6
2020,6
2021,6
2022,6
2023,6
2024,2
2025,6
