"","Year","Category","Count"
"1",2017,"Dementia...Organic",20376
"2",2017,"Mood.Disorders",347902
"3",2017,"Anxiety...Stress",148081
"4",2018,"Dementia...Organic",17042
"5",2018,"Mood.Disorders",282943
"6",2018,"Anxiety...Stress",170410
"7",2019,"Dementia...Organic",17443
"8",2019,"Mood.Disorders",307838
"9",2019,"Anxiety...Stress",197990
"10",2020,"Dementia...Organic",19572
"11",2020,"Mood.Disorders",321787
"12",2020,"Anxiety...Stress",212723
"13",2021,"Dementia...Organic",21740
"14",2021,"Mood.Disorders",318999
"15",2021,"Anxiety...Stress",216109
"16",2022,"Dementia...Organic",18087
"17",2022,"Mood.Disorders",259397
"18",2022,"Anxiety...Stress",188543
